RCT,interventionEvent,interventionTotal,controlEvent,controlTotal
Havig1973,1,24,2,26
Duff1982,12,31,16,43
Warren1983,13,56,12,64
Brown1984,7,18,9,16
Rapp1984,2,17,3,18
Smith1984,35,96,58,99
Cone1985,3,21,4,19
Felisart1985,9,37,18,36
Holloway1985,2,15,3,18
Vergnon1985,7,16,4,14
Rasmussen1986,1,29,1,30
Arich1987,3,25,5,22
Mandell1987,7,52,9,58
Muller1987,16,73,5,33
Bergeron1988,2,37,5,30
Hoepelman1988,8,45,13,41
Limson1988,2,20,3,20
Gerecht1989,4,24,13,22
Sanfilippo1989,0,13,1,13
Gomez1990,6,39,5,39
Koehler1990,13,63,6,64
Landau1990,4,20,3,20
Mouton1990,39,105,43,106
Thompson1990,15,49,14,47
Martin1991,10,52,8,42
Aguilar1992,0,19,3,17
Finer1992,24,220,22,195
Naime1992,0,15,0,15
Stille1992,22,186,26,151
Trujillo1992,0,16,2,14
THompson1993,2,80,0,40
Yellin1993,1,56,1,34
Mouton1995,14,111,20,118
Rubinstein1995,40,267,59,238
Verzasconi1995,6,45,8,42
Figueroa1996,3,14,5,42
McCormick1997,13,65,8,63
Moreno1997,1,30,0,28
Sieger1997,30,106,43,105
Iakovlev1998,4,48,10,47
Jaspers1998,12,39,15,40
Speich1998,4,41,7,43
Wing1998,6,117,0,62
Garc1999,5,30,22,30
Alvarez2001,10,57,20,59
Banasal2006,1,33,1,38
